,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
0,-0.5579631,0.37954885,-0.7964328,-0.3716636,0.075565025,-0.5719818,0.2840808,-0.10182955,0.6892073,-0.25604466,-0.5995022,-0.85343474,-1.0099701,-0.9662342,-0.19745122,0.13579063,0.78981286,0.8950067,0.65819335,0.2121437,0000.png
0,-0.5443886,0.35853115,-0.7721041,-0.36756778,0.07889194,-0.5940904,0.23167878,-0.14438961,0.7043856,-0.22758822,-0.65111965,-0.8125455,-0.9806311,-0.9302896,-0.22864881,0.17138119,0.81570756,0.83196926,0.6822133,0.17793356,0001.png
0,-0.5235684,0.38015753,-0.78409463,-0.32253826,0.086153924,-0.583764,0.23289269,-0.14388676,0.6899649,-0.22105575,-0.5602493,-0.8423038,-1.0329534,-0.9568751,-0.2495583,0.14748193,0.77166533,0.9000922,0.6753291,0.16538872,0002.png
0,-0.49304077,0.36937612,-0.7886602,-0.37095067,0.0827278,-0.57785994,0.27274007,-0.18480845,0.7505541,-0.23865286,-0.5980515,-0.8279006,-1.0316443,-0.9419885,-0.24099456,0.14144665,0.79922426,0.916075,0.69197154,0.19577058,0003.png
0,-0.52903473,0.42543787,-0.7776403,-0.37927797,0.06500575,-0.59546393,0.23382443,-0.13066116,0.7694853,-0.22650743,-0.6377475,-0.8443675,-0.9949776,-0.9261813,-0.22175643,0.19524354,0.77648467,0.9123824,0.65707016,0.19102423,0004.png
0,-0.50377625,0.35568088,-0.77422947,-0.3713126,0.057669163,-0.6030269,0.23357841,-0.13252155,0.7057639,-0.23880014,-0.5683526,-0.85520047,-1.0111464,-0.9753313,-0.22129333,0.1330649,0.80708975,0.9150454,0.6735518,0.16330542,0005.png
0,-0.5094173,0.3812091,-0.74230576,-0.38870868,0.04296057,-0.61834544,0.21071908,-0.12524708,0.6895729,-0.26376975,-0.6320265,-0.82450837,-0.990698,-0.9445007,-0.23096927,0.18151905,0.827282,0.87923735,0.67410815,0.19790913,0006.png
0,-0.57708216,0.40135783,-0.7880111,-0.34363714,0.08254207,-0.58480465,0.2485022,-0.09359065,0.73192215,-0.2812876,-0.6114831,-0.8225843,-1.0346546,-0.9347292,-0.25376275,0.19559175,0.78014004,0.91851395,0.6761148,0.17346527,0007.png
0,-0.49497503,0.35003152,-0.7844721,-0.38997027,0.04516007,-0.60814,0.22982788,-0.13843612,0.72081137,-0.22138132,-0.6078167,-0.835118,-1.0654509,-0.9429067,-0.22892594,0.20724578,0.80154085,0.87567806,0.66901493,0.18875872,0008.png
0,-0.5264629,0.36276853,-0.75716656,-0.38489434,0.061506264,-0.5674747,0.24051371,-0.10934286,0.7470737,-0.2252649,-0.6241139,-0.8080778,-0.9840013,-0.95861036,-0.1982968,0.13836612,0.80966455,0.9143712,0.6939639,0.19313681,0009.png
0,-0.52187765,0.36945316,-0.7757235,-0.3622138,0.08815095,-0.58031875,0.2974184,-0.12713468,0.7220822,-0.20751141,-0.5998109,-0.8082744,-1.0244987,-0.94727975,-0.2044323,0.17865516,0.82557535,0.93036,0.69176495,0.17713767,0010.png
0,-0.51991975,0.3906595,-0.7622197,-0.32375428,0.06469825,-0.61289144,0.2210634,-0.07757144,0.74406546,-0.24163,-0.6492131,-0.84398013,-1.0316756,-0.95511204,-0.23579837,0.1345682,0.7577943,0.8779792,0.6760225,0.16170996,0011.png
0,-0.5248197,0.39509082,-0.76523393,-0.36682543,0.05378364,-0.60047114,0.23404899,-0.1400916,0.7130462,-0.21821898,-0.61286575,-0.87101465,-1.0029199,-0.92130953,-0.22345726,0.16954339,0.7859619,0.91031027,0.67694473,0.22928585,0012.png
0,-0.5067846,0.31480455,-0.797537,-0.3348231,0.07086832,-0.58249825,0.2047976,-0.15103863,0.7351867,-0.26388413,-0.6323137,-0.8189422,-1.0133315,-0.93143314,-0.21442993,0.12487096,0.78242594,0.8955962,0.636158,0.14022443,0013.png
0,-0.49678427,0.36480257,-0.7557041,-0.34660867,0.038764358,-0.5695903,0.18831831,-0.13719684,0.75180346,-0.23162326,-0.62342775,-0.8176151,-1.0128144,-0.9287603,-0.1921268,0.17333676,0.7783986,0.89582014,0.63937175,0.1681513,0014.png
0,-0.5154095,0.38579187,-0.78256077,-0.3382354,0.13289486,-0.62640786,0.2422001,-0.1368948,0.7027555,-0.28366503,-0.60535675,-0.79588675,-1.039502,-0.94804907,-0.19342673,0.13866241,0.8123986,0.9105549,0.6761193,0.19047259,0015.png
0,-0.538373,0.37498963,-0.7296293,-0.36079457,0.06758079,-0.61139417,0.2626587,-0.15182082,0.72692204,-0.27137035,-0.64868236,-0.82526433,-0.97821915,-0.9351846,-0.19921233,0.22033504,0.7888785,0.91207254,0.71754575,0.17198348,0016.png
0,-0.5685122,0.37507045,-0.7886601,-0.36692324,0.10829215,-0.56098217,0.25594258,-0.14683498,0.72094595,-0.2448572,-0.62954795,-0.87213594,-1.0216576,-0.9384968,-0.24234338,0.1801878,0.7866565,0.86197096,0.6965139,0.13321866,0017.png
0,-0.5437624,0.37951884,-0.7543233,-0.34977183,0.09966108,-0.6131189,0.24710774,-0.13450451,0.73692614,-0.22777562,-0.6058205,-0.81922275,-0.987712,-0.936744,-0.24316034,0.20188405,0.7896958,0.89248824,0.68820333,0.16084807,0018.png
0,-0.5094966,0.39906365,-0.8132001,-0.3329138,0.07008923,-0.611,0.19579098,-0.12407823,0.7135407,-0.22631042,-0.5521259,-0.8033947,-1.0156841,-0.9156102,-0.25928852,0.15491839,0.79110295,0.8788819,0.6304103,0.21299894,0019.png
0,-0.51545167,0.31908703,-0.7367982,-0.38022348,0.114492506,-0.5625858,0.26861843,-0.15325977,0.7471653,-0.21945426,-0.61322415,-0.8398764,-1.0350292,-0.9257463,-0.22962451,0.17277075,0.81353277,0.8982152,0.69442916,0.20476395,0020.png
0,-0.5158764,0.35965556,-0.7678316,-0.34104168,0.03361763,-0.5668498,0.2658706,-0.106345534,0.7168815,-0.2279048,-0.59887403,-0.79069287,-1.0243808,-0.9479157,-0.21813822,0.19313355,0.7992329,0.937898,0.6191268,0.17087436,0021.png
0,-0.5489901,0.38727605,-0.75633883,-0.38085103,0.029107094,-0.60803634,0.25073147,-0.13391204,0.75292724,-0.24649908,-0.60728955,-0.8131734,-1.0225132,-0.9459256,-0.22137147,0.19336633,0.77859527,0.8747003,0.634882,0.20521472,0022.png
0,-0.50766385,0.37093803,-0.7878343,-0.35164464,0.053553402,-0.5979568,0.2339426,-0.14484048,0.74565303,-0.20696081,-0.60948676,-0.83239734,-1.0101248,-0.93197954,-0.2196677,0.18137014,0.8183206,0.8538559,0.6860137,0.16913112,0023.png
0,-0.5345775,0.38046086,-0.7697442,-0.38604495,0.070174456,-0.58051234,0.19875541,-0.13476251,0.73942673,-0.22998115,-0.5982232,-0.85961515,-1.0200723,-0.9314443,-0.21792442,0.2185325,0.78492683,0.8925071,0.67744565,0.15208872,0024.png
0,-0.5164109,0.356216,-0.74652773,-0.31670958,0.07176915,-0.6093115,0.24807441,-0.105299205,0.7427142,-0.24503411,-0.61580116,-0.8184986,-1.0539544,-0.9136891,-0.21126303,0.1848481,0.7851643,0.8838077,0.6839862,0.19954531,0025.png
0,-0.52097213,0.41535887,-0.79603755,-0.37195495,0.09533635,-0.6268827,0.29205817,-0.12587926,0.71881276,-0.25008434,-0.5993221,-0.8223145,-1.0154335,-0.91276854,-0.19043207,0.1657573,0.8081595,0.85284424,0.6348897,0.1896075,0026.png
0,-0.53205645,0.38427663,-0.7959618,-0.38093576,0.07350517,-0.59386784,0.24433386,-0.18112732,0.7208153,-0.24894781,-0.65046644,-0.85704195,-1.0233926,-0.9765543,-0.2277112,0.12169314,0.7903227,0.8986857,0.6485504,0.18055283,0027.png
0,-0.5314226,0.38174593,-0.7905681,-0.35461685,0.06527858,-0.61942405,0.23087326,-0.14687319,0.7176029,-0.28149137,-0.6368496,-0.8275341,-1.0229251,-0.96143854,-0.20480978,0.20989357,0.80881965,0.8664149,0.68850124,0.18724953,0028.png
0,-0.5191137,0.35495418,-0.8208989,-0.3735716,0.08429064,-0.56906825,0.22654781,-0.20052086,0.72480035,-0.22560105,-0.5611957,-0.8405145,-0.99311996,-0.9187057,-0.2086517,0.18880995,0.79466903,0.8843999,0.6658846,0.15288843,0029.png
0,-0.5138152,0.43977153,-0.7748262,-0.36873445,0.090543546,-0.5911009,0.21755472,-0.13584127,0.7330165,-0.25675097,-0.6163502,-0.8514834,-1.0070812,-0.9488064,-0.21722065,0.15886457,0.7497267,0.8738793,0.6499814,0.18397515,0030.png
0,-0.5108785,0.40462953,-0.78880876,-0.32367948,0.034621812,-0.56814736,0.2367548,-0.119962424,0.7229603,-0.25613824,-0.63350534,-0.84437203,-1.0263406,-0.9096892,-0.1880332,0.15872276,0.80486625,0.84821,0.62547696,0.24727666,0031.png
0,-0.542539,0.36047304,-0.73589987,-0.34439346,0.081057176,-0.5810402,0.22050142,-0.14799552,0.7321837,-0.2528973,-0.56880647,-0.80169845,-1.0167537,-0.9215905,-0.21186356,0.17266548,0.7972005,0.9395291,0.71881115,0.17923911,0032.png
0,-0.5381627,0.39273304,-0.7561278,-0.3729926,0.046929352,-0.63321066,0.22493732,-0.1562714,0.71584266,-0.23343804,-0.61072165,-0.8339394,-0.95363325,-0.93863684,-0.17781621,0.16223855,0.786378,0.85532504,0.6559299,0.1754642,0033.png
0,-0.5271341,0.39930004,-0.80240834,-0.38116422,0.08568464,-0.57132196,0.23486754,-0.09516532,0.75153035,-0.23191924,-0.60247576,-0.8521049,-0.9907963,-0.914798,-0.22789997,0.14517504,0.78970176,0.9267143,0.6507664,0.20093675,0034.png
